Year,Series,Enfermedad no transmisible,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2023,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.5
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,195.5
2016,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,325.8
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,187.1
2018,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,13.7
2019,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,13.0
2020,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.7
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,64.4
2011,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,15.7
2015,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,20.1
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,221.5
2014,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,10.1
2017,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,332.9
2023,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,217.2
2021,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,23.4
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,197.2
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,610.6
2013,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,22.7
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,208.2
2010,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,22.7
2017,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,13.8
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,213.4
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,589.2
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,626.0
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,595.7
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,623.6
2012,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.4
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,234.1
2022,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,21.5
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,555.5
2012,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,303.2
2010,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,288.3
2011,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,342.1
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,215.5
2022,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,280.3
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,67.2
2019,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,315.2
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,222.8
2016,Tasa de mortalidad,Diabetes,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,15.7
2015,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,307.9
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,75.9
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,186.7
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,72.7
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,274.0
2015,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,377.0
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,80.8
2015,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,21.7
2023,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,17.6
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,725.7
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,277.8
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,282.5
2022,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,361.8
2023,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,347.0
2019,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,374.8
2014,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,380.3
2017,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,369.6
2010,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,371.3
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,272.5
2021,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,18.2
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,71.0
2018,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,368.8
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,257.5
2021,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,359.0
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,97.9
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,86.7
2016,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,378.1
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,96.3
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,78.0
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,63.3
2011,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,364.9
2013,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,15.9
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,82.4
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,711.4
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,70.8
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,69.7
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,87.8
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,757.3
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,757.1
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,780.4
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,747.2
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,762.8
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,759.5
2017,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,16.8
2020,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,364.7
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,750.8
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,695.5
2013,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,371.4
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,91.3
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,738.0
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,259.9
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,274.1
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,282.4
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,708.7
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,276.1
2022,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,19.5
2012,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,378.8
2020,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,23.6
2018,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,18.0
2023,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,260.1
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,285.4
2012,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,19.2
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,80.9
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,258.1
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,261.8
2016,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,19.3
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,97.0
2011,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,22.0
2014,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,18.9
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,716.3
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,767.2
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,264.0
2010,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,19.0
2019,Tasa de mortalidad,Diabetes,Hombre,Bizkaia,,,Por 100.000 habitantes,Bizkaia,20.5
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,61.9
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,73.0
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,59.4
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,72.3
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,247.2
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,651.5
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,670.5
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,685.7
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,84.9
2011,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,335.3
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,672.4
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,675.4
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,675.0
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,667.2
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,231.4
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,672.6
2017,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,337.0
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,249.1
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,668.6
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,79.3
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,691.4
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,85.4
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,666.9
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,643.3
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,72.1
2022,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,24.5
2013,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,326.7
2020,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,21.6
2021,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,17.4
2012,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,340.9
2021,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,317.7
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,691.1
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,245.4
2013,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,22.8
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,666.4
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,79.1
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,72.6
2020,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,333.5
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,229.2
2018,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,22.0
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,271.2
2016,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,19.0
2014,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,19.0
2012,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,18.8
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,242.7
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,247.5
2011,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,17.1
2019,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,17.6
2023,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,23.6
2017,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,16.6
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,254.1
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,242.4
2015,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,17.8
2022,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,333.9
2018,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,346.0
2014,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,343.9
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,242.8
2010,Tasa de mortalidad,Diabetes,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,23.2
2023,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,254.9
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,236.9
2010,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,323.0
2023,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,350.9
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,80.4
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,238.3
2015,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,336.2
2016,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,323.2
2019,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,308.3
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,78.3
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,66.2
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,62.5
